"Latest: Time (s)","Latest: Temperature (°C)"
2252,30.7294371905
2254,30.7118570114
2256,30.6986727651
2258,30.6840244925
2260,30.6723065471
2262,30.6605891981
2264,30.6474078914
2266,30.6327628756
2268,30.6107970839
2270,30.5932259412
2272,30.5815125796
2274,30.5683357471
2276,30.5522317323
2278,30.5288096723
2280,30.5039262693
2282,30.4892901883
2284,30.4731915346
2286,30.4658743223
2288,30.4512405663
2290,30.4351444615
2292,30.417586297
2294,30.4014924296
2296,30.3897884674
2298,30.3810108643
2300,30.3678450504
2302,30.344440904
2304,30.326889254
2306,30.310801336
2308,30.2932520696
2310,30.2771663284
2312,30.2625438258
2314,30.2420737542
2316,30.2201433807
2318,30.2055241881
2320,30.1894440484
2322,30.1616716499
2324,30.1397481982
2326,30.1236721866
2328,30.1119811698
2330,30.0929843914
2332,30.0739889991
2334,30.0462289833
2336,30.0228544
2338,30.0097071052
2340,30.000942604
2342,29.9804932238
2344,29.9658874823
2346,29.9498220857
2348,29.9352180121
2350,29.9206147285
2352,29.9045520254
2354,29.8899503914
2356,29.8709694347
2358,29.8505298739
2360,29.8403106625
2362,29.827172232
2364,29.8125747066
2366,29.7965183136
2368,29.7790033017
2370,29.7629488356
2372,29.7527328343
2374,29.7395985188
2376,29.7308426472
2378,29.7206278051
2380,29.71041333
2382,29.6958218572
2384,29.6797720963
2386,29.6622642886
2388,29.6476752603
2390,29.6374633779
2392,29.6316281779
2394,29.6199581287
2396,29.60245393
2398,29.5864093331
2400,29.5732825865
